date,section,exports,imports
2003-08-01,1,113.498028,56.588306
2003-08-01,2,874.816225,643.75997
2003-08-01,3,3158.990237,1289.310499
2003-08-01,4,2155.797583,59.370703
2003-08-01,5,1625.421181,1718.871056
2003-08-01,6,2398.67561,2043.680373
2003-08-01,7,18937.440358,16631.303868
2003-08-01,8,3042.690135,1507.72423
2003-08-01,9,449.904272,725.590342
2003-08-01,overall,33461.772492,25519.297788999997
2003-09-01,0,702.981181,963.707116
2003-09-01,1,143.621172,96.199967
2003-09-01,2,827.209018,625.13816
2003-09-01,3,3179.406392,1538.294825
2003-09-01,4,2316.489983,55.309055
2003-09-01,5,1670.995951,1755.641751
2003-09-01,6,2270.396698,2754.410042
2003-09-01,7,19683.927195,16973.408465
2003-09-01,8,2802.798021,1683.832236
2003-09-01,9,461.76075,871.741135
2003-09-01,overall,34059.586361,27317.682752
2003-10-01,0,824.924714,1217.635124
2003-10-01,1,140.197035,88.167645
2003-10-01,2,985.066825,755.284905
2003-10-01,3,3304.672452,1488.225105
2003-10-01,4,2320.847616,103.398376
2003-10-01,5,1805.335457,2091.198434
2003-10-01,6,2516.652934,3067.719634
2003-10-01,7,21552.138021,18773.553637
2003-10-01,8,3186.892259,1783.746563
2003-10-01,9,469.424601,1000.055848
2003-10-01,overall,37106.151914,30368.985271
2003-11-01,0,700.517083,1196.17971
2003-11-01,1,118.69858,87.987045
2003-11-01,2,837.293796,563.916431
2003-11-01,3,3411.612723,1273.928691
2003-11-01,4,1826.474587,145.552006
2003-11-01,5,1827.59206,1779.996597
2003-11-01,6,2279.223102,2639.129516
2003-11-01,7,19035.567246,16435.785302
2003-11-01,8,2754.935915,1557.090963
2003-11-01,9,464.126328,923.405533
2003-11-01,overall,33256.041419999994,26602.971794
2003-12-01,0,823.534906,1441.387094
2003-12-01,1,148.631587,122.03553
2003-12-01,2,1049.458222,684.196855
2003-12-01,3,4346.182401,1660.579551
2003-12-01,4,2193.912106,165.6426
2003-12-01,5,2062.577963,2235.119584
